osm_id;lines_id;types;voltage;cables;wires;circuits;node_from;station_from;node_from_lon;node_from_lat;node_to;station_to;node_to_lon;node_to_lat;length_km
367607436-1_0;L39;line;130.0;6;double;2;SKO4;35;13.8679622;58.4520693;SKO1;32;13.7197527;58.5398771;15.118440679417107
367607437-1_0;L40;line;130.0;3;single;1;SKO4;35;13.8756139;58.4503789;TOR1;52;14.0410156;58.6126572;20.87281416595907
367607440-1_0;L41;line;130.0;3;single;1;SKO4;35;13.8759697;58.4501173;HJO2;56;14.078722;58.3026233;21.004687796607545
499666404-1_0;L42;line;130.0;3;single;1;SKO1;32;13.720602;58.5338797;SKA2;42;13.5498636;58.3985697;18.40525512069365
1124311428-1_0;L43;line;130.0;3;single;1;LID1;40;13.1765467;58.4981015;GOT3;109;13.2847919;58.4974509;6.689272112984309
1124412966-1_1;L44;line;130.0;3;single;1;LID1;40;13.1841495;58.4748171;GOT2;108;13.3260015;58.4997555;8.76123557969395
249379643-1_0;L45;line;130.0;3;single;1;FAL2;47;13.5247934;58.1707088;ULR1;48;13.4208882;57.8233581;39.87764905207588
426534396-1_0;L46;line;130.0;3;single;1;HJO3;57;14.0955691;58.2832719;TID3;45;13.9387841;58.2051759;13.886032980503044
469423011-1_0;L47;line;130.0;3;single;1;SKO5;36;13.9594784;58.3858978;SKO2;33;13.8732953;58.3807464;5.18401530098914
540880940-1_0;L48;line;130.0;3;single;1;SKO6;37;13.8238853;58.3576234;FAL1;46;13.5519947;58.1989284;24.12257512080872
1025428962-1_0;L49;line;130.0;3;single;1;FAL1;46;13.5760036;58.193257;TID1;43;13.9220133;58.1872218;21.007913324661825
1131029073-1_0;L50;line;130.0;3;single;1;TID3;45;13.9387841;58.2051759;TID1;43;13.9218789;58.1881293;2.1978846279921003
